Description,ncRNA Name,Disease,PMID,Labels
Prostate cancer gene 3 (PCA3 or DD3) is a promising urinary biomarker of prostate cancer.,PCA3,prostate cancer,21405964,1
Let-7 MicroRNA and HMGA2 levels of expression are not inversely linked in adipocytic tumors: Analysis of 56 lipomas and liposarcomas with molecular cytogenetic data.,Let-7//HMGA2,adipocytic tumors//lipomas//liposarcomas,21412931,1
Genomic Loss of miR-486 Regulates Tumor Progression and the OLFM4 Anti-apoptotic Factor in Gastric Cancer.,miR-486,Gastric Cancer,21415212,1
"MiR-204, which was predicted to target ezrin, was downregulated in gastric cancer cells and gastric carcinomas. ",MiR-204,gastric cancer//gastric carcinomas,21416062,1
Down-regulation of miR-1/miR-133 contributes to re-expression of pacemaker channel genes HCN2 and HCN4 in hypertrophic heart.,miR-1//miR-133,hypertrophic heart,21418519,1
miR-449 inhibits cell proliferation and is down-regulated in gastric cancer.,miR-449,gastric cancer,21418558,1
MiRNA-205 modulates cellular invasion and migration via regulating zinc finger E-box binding homeobox 2 expression in esophageal squamous cell carcinoma cells.,MiRNA-205,esophageal squamous cell carcinoma,21426561,1
mir-21 is up-regulated in subcutaneous adipose tissue in human obesity.,mir-21,obesity,21426570,1
Anti-sense miRNA-21 oligonucleotide inhibits Tb 3.1 human tongue squamous cell carcinoma growth in vitro.,miRNA-21,tongue squamous cell carcinoma,21426775,1
"In this study,we demonstrated that a small regulatory microRNA,hsa-miR-381,an“oncomir”,had a major role in glioma progression and that LRRC4 was a target of hsa-miR-381.",hsa-miR-381,glioma,21435336,1
miR-223 regulates migration and invasion by targeting Artemin in human esophageal carcinoma.,miR-223,esophageal carcinoma,21453483,1
miR-205 suppresses melanoma cell proliferation and induces senescence via regulation of E2F1.,miR-205,melanoma,21454583,1
MiR-148a promotes apoptosis by targeting Bcl-2 in colorectal cancer.,MiR-148a,colorectal cancer,21455217,1
Methylation of H19 and its imprinted control region (H19 ICR1) in Mullerian aplasia.,H19,Mullerian aplasia,21458801,1
Human ZFAS1 levels are reduced in ductal carcinoma relative to normal breast tissue.,ZFAS1,breast tissue,21460236,1
our results elucidate a novel Myc- and FoxP1-dependent pathway of malignant transformation and suggest miR-34a replacement therapy as a promising strategy in lymphoma treatment.,miR-34a,lymphoma ,21460242,1
"Overexpression of miR-210, a downstream target of HIF1, causes centrosome amplification in renal carcinoma cells.",miR-210,renal carcinoma,21465485,1
miR-214 is highly expressed in human melanomas and contributes to melanoma tumour progression through suppression of TFAP2C.,miR-214,melanoma,21468029,1
Altered miR-146a expression in Sjogren's syndrome.,miR-146a,Sjogren's syndrome,21469088,1
"ACCs (adrenocortical carcinomas) exhibited significantly lower levels of miR-139-3p (up to 8.49-fold, p<0.001), miR-675 (up to 23.25-fold, p<0.001) and miR-335 (up to 5.25-fold, p<0.001).",miR-139-3p//miR-675//miR-335,adrenocortical carcinoma,21471143,1
up-regulated of MIR-21 mediates resistance to trastuzumab therapy for breast cancer.,MIR-21,breast cancer,21471222,1
Hsa-miR-100 was significantly down-regulated in the estrogen-dependent endometrial cancer samples as compared to the estrogen-independent samples and thus has the potential to target ESR1.,Hsa-miR-100,endometrial cancer,21472251,1
Down-regulation of BRCA1 expression by miR-146a and miR-146b-5p in triple negative sporadic breast cancers.,BRCA1//miR-146a//miR-146b-5p,breast cancer,21472990,1
Restoration of miR-517a expression induces cell apoptosis in bladder cancer cell lines.,miR-517a,bladder cancer,21479368,1
Restoration of miR-517a expression induces cell apoptosis in bladder cancer cell lines.,mir-517a,bladder cancer,21479368,1
"Levels of miR-126 in serum, and its levels in patients' serum in association with a specific marker of MPM, SMRPs, correlate with subjects at high risk to develop malignant pleural mesothelioma (MPM).",miR-126,malignant pleural mesothelioma,21483773,1
miR-221 downregulated in Glioblastoma vs Normal.,miR-221,Glioblastoma,21483847,1
"H19 has been implicated as having both oncogenic and tumor suppression properties in cancer. H19 is upregulated in a number of human cancers,including hepatocellular,bladder and breast carcinomas,suggesting an oncogenic function for this lncRNA.",H19,hepatocellular carcinomas//bladder carcinomas//breast carcinomas,21489289,1
"HULC - Highly Upregulated in Liver Cancer. Once activated,the CREB protein was able to promote HULC transcription by maintaining an open chromatin structure at the HULC promoter resulting in increased HULC transcription.",HULC,Liver Cancer,21489289,1
"H19 has been implicated as having both oncogenic and tumor suppression properties in cancer. H19 is upregulated in a number of human cancers,including hepatocellular,bladder and breast carcinomas,suggesting an oncogenic function for this lncRNA.",H19,hepatocellular carcinomas//bladder carcinomas//breast carcinomas,21489289,1
miR-145 Inhibits Lung Adenocarcinoma Stem Cells Proliferation by Targeting OCT4 Gene.,miR-145,Lung Adenocarcinoma,21496429,1
Forced expression of BCAR4 in human ZR-75-1 and MCF7 breast cancer cells resulted in cell proliferation in the absence of estrogen and in the presence of various antiestrogens. ,BCAR4,breast cancer,21506106,1
High expression of serum miR-21 and tumor miR-200c associated with poor prognosis in patients with lung cancer.,miR-21//miR-200c,lung cancer,21516486,1
miR-218 on the genomic loss region of chromosome 4p15.31 functions as a tumor suppressor in bladder cancer.,miR-218,Urinary bladder cancer,21519788,1
PVT1 may mediate the development and progression of diabetic nephropathy through mechanisms involving ECM accumulation.,PVT1,diabetic nephropathy,21526116,1
"Lsinct5 is overexpressed in breast and ovarian cancer cell lineand tumor tissues,relative to their normal counterpart.",Lsinct5,ovarian cancer,21532345,1
MicroRNA Let-7f Inhibits Tumor Invasion and Metastasis by Targeting MYH9 in Human Gastric Cancer.,Let-7f,Gastric Cancer,21533124,1
Upregulation of MiR-155 in Nasopharyngeal Carcinoma is Partly Driven by LMP1 and LMP2A and Downregulates a Negative Prognostic Marker JMJD1A.,MiR-155, Nasopharyngeal Carcinoma,21541331,1
miR-137 under expression was significantly associated with melanomas with the KRAS-variant.,miR-137,melanomas,21543894,1
miR-29c induces cell cycle arrest in Esophageal Squamous Cell Carcinoma by modulating Cyclin E expression.,miR-29c,Esophageal Squamous Cell Carcinoma,21551130,1
miR-143 and miR-145 are downregulated in ulcerative colitis.,miR-143//miR-145,ulcerative colitis,21557394,1
A common genetic variant (rs938671) in the 3'-UTR of Vacuolar H+-ATPase ATP6V0A1 creates a micro-RNA (hsa-miR-637) motif to alter Chromogranin A (CHGA) processing and hypertension risk.,hsa-miR-637,hypertension,21558123,1
"The elevated expression of SPRY4-IT1 in melanoma cells compared to melanocytes,its accumulation in cell cytoplasm,and effects on cell dynamics,including increased rate of wound closure on SPRY4-IT1 overexpression,suggest that the higher expression of SPRY4-IT1 may have an important role in the molecular etiology of human melanoma.",SPRY4-IT1,melanoma,21558391,1
"miR-10b methylation may be a useful molecular biomarker for assessing the risk of gastric cancer development, and modulation of miR-10b may represent a therapeutic approach for treating gastric cancer.",miR-10b,gastric cancer,21562367,1
The gene encoding the miR-34a microRNA is a transcriptional target of the p53 tumor suppressor protein and subject to epigenetic inactivation in colorectal cancer and numerous other tumor types.,miR-34a,colorectal cancer,21566225,1
Down-regulation of miR-27a might inhibit proliferation and drug resistance of gastric cancer cells.,miR-27a,gastric cancer,21569481,1
Targeting oncogenic miR-335 inhibits growth and invasion of malignant astrocytoma cells.,miR-335,astrocytoma,21592405,1
miR-214 drives melanoma metastasis.,miR-214,melanoma,21593728,1
Circulating microRNAs let-7a and miR-16 predict progression-free survival and overall survival in patients with myelodysplastic syndrome.,let-7a//miR-16,myelodysplastic syndrome,21602527,1
Hepatitis C Virus Infection and Hepatic Stellate Cell Activation Downregulate miR-29: miR-29 Overexpression Reduces Hepatitis C Viral Abundance in Culture.,miR-29,Hepatitis C,21606534,1
Epigenetically silenced miR-34b/c as a novel faecal-based screening marker for colorectal cancer.,miR-34b/c,colorectal cancer,21610744,1
miR-346 Controls Release of TNF-a Protein and Stability of Its mRNA in Rheumatoid Arthritis via Tristetraprolin Stabilization.,miR-346,Rheumatoid Arthritis,21611196,1
The level of expression of piR-651 was higher in gastric tumour tissues and cell lines compared to normal tissues and the levels of piR-651 were associated with TNM stages. ,piR-651,gastric tumour,21616063,1
"The peripheral blood levels of piR-651 and piR-823 in the patients with gastric cancer were significantly lower than those from controls, pirnas may be valuable biomarkers for detecting circulating gastric cancer cells.",pir-651//piR-823,gastric cancer,21616063,1
"The expression of piR-651 in gastric, colon, lung, and breast cancer tissues was higher than that in paired non-cancerous tissues.",piR-651,gastric cancer//colon cancer//lung cancer//breast cancer,21616063,1
Let-7 microRNAs inhibit IL-13 expression and represent a major regulatory mechanism for modulating IL-13 secretion in IL-13-producing cell types and thereby T(H)2 inflammation.,Let-7//IL-13,Inflammation,21616524,1
A miR-21 inhibitor enhances apoptosis and reduces G(2)-M accumulation induced by ionizing radiation in human glioblastoma U251 cells.,miR-21,glioblastoma,21618027,1
Downregulation of Pdcd4 by mir-21 facilitates glioblastoma proliferation in vivo.,Pdcd4//mir-21,glioblastoma,21636706,1
p53 downregulates Down syndrome-associated DYRK1A through miR-1246.,p53//DYRK1A//miR-1246,Down syndrome,21637297,1
"MiR-100 regulates cell differentiation and survival by targeting RBSP3, a phosphatase-like tumor suppressor in acute myeloid leukemia.",MiR-100,acute myeloid leukemia,21643017,1
miR-122 activates hepatitis C virus translation by a specialized mechanism requiring particular RNA components.,miR-122,Hepatitis C,21653556,1
The presence of the (TAAA)n short tandem repeat polymorphisms in the PCA3 promoter region may be a risk factor for prostate cancer in the Chinese population.,PCA3,Prostate cancer,21655300,1
"The rs8259 T allele was associated with significantly decreased psoriasis susceptibility (OR=0.758, 95% CI 0.638-0.901, p=0.002) compared to A allele. the rs8259 polymorphism was located in a seed region for miR-492 binding.",miR-492,psoriasis,21655935,1
High-mobility group A1 proteins enhance the expression of the oncogenic miR-222 in lung cancer cells.,miR-222,lung cancer,21656127,1
miR-198 inhibits migration and invasion of hepatocellular carcinoma cells by targeting the HGF/c-MET pathway.,miR-198,hepatocellular carcinoma,21658389,1
miR-17-92 cluster microRNAs confers tumorigenicity in multiple myeloma.,miR-17-92,multiple myeloma,21664042,1
down-regulated of miR-132 by promoter methylation contributes to pancreatic cancer development.,miR-132,pancreatic cancer,21665894,1
Tamoxifen down-regulated of miR-451 increases 14-3-3 and promotes breast cancer cell survival and endocrine resistance.,miR-451,breast cancer,21666713,1
TRPS1 targeting by miR-221/222 promotes the epithelial-to-mesenchymal transition in breast cancer.,miR-221/222,breast cancer,21673316,1
miR-29a and miR-142-3p show downregulation and diagnostic implication in human acute myeloid leukemia.,miR-29a//miR-142-3p,acute myeloid leukemia,21678057,1
Down-Regulated miRNA-214 Induces a Cell Cycle G1 Arrest in Gastric Cancer Cells by Up-Regulating the PTEN Protein.,miRNA-214,Gastric Cancer,21688200,1
miR-340 inhibites breast cancer cell migration and invasion through targeting of oncoprotein c-Met.,miR-340,breast cancer,21692045,1
The expression levels of miR-122 and miR-194 correlated negatively with the age of patients with CHB (chronic hepatitis B) or ACLF (acute-on-chronic liver failure).,miR-122//miR-194,Hepatitis B//ACLF,21692939,1
The expression levels of miR-122 and miR-194 correlated negatively with the age of patients with CHB (chronic hepatitis B) or ACLF (acute-on-chronic liver failure).,mir-122,Liver failure,21692939,1
Circulating miR-210 predicts survival in critically ill patients with acute kidney injury.,miR-210,acute kidney failure,21700819,1
"miR-148a could reduce the invasiveness, migratory and adhesive activities of gastric tumor cells. Most importantly, elevated miR-148a level in gastric cancer tissues was strongly correlated with distant metastasis, organ and peritoneal invasion and reduced survival rate.",miR-148a,gastric tumor,21703006,1
ROC curve analyses revealed that both peripheral blood piR-651 and piR-823 were valuable biomarkers for differentiating gastric cancer from controls with AUC of 0.841 and 0.822.,piR-651//piR-823,gastric cancer,21704610,1
Deregulated miR-155 promotes Fas-mediated apoptosis in human intervertebral disc degeneration by targeting FADD and caspase-3.,miR-155,intervertebral disc degeneration,21706480,1
MIR203 is epigeneticlly silenced in multiple myeloma.,MIR203,multiple myeloma,21707582,1
miR-23a regulation of X-linked inhibitor of apoptosis (XIAP) contributes to sex differences in the response to cerebral ischemia.,miR-23a,cerebral ischemia,21709246,1
"Ectopic expression of miR-375 inhibited melanoma cell proliferation, invasion, and cell motility, and induced cell shape changes, strongly suggesting that miR-375 may have an important function in the development and progression of human melanomas.",miR-375,melanoma,21723283,1
MiR-200b and miR-15b regulate chemotherapy-induced epithelial-mesenchymal transition in human tongue cancer cells by targeting BMI1.,MiR-200b//miR-15b,tongue cancer,21725369,1
miR-122 inhibits viral replication and cell proliferation in hepatitis B virus-related hepatocellular carcinoma and targets NDRG3.,miR-122,hepatocellular carcinoma,21725618,1
Reduction in miR-141 is induced by leukemia inhibitory factor and inhibits proliferation in choriocarcinoma cell line JEG-3.,miR-141,choriocarcinoma,21726338,1
miR-22 promotes HBV related hepatocellular carcinoma development in males.,miR-22,hepatocellular carcinoma,21750200,1
Coordinated increase of miRNA-155 and miRNA-196b expression correlates with the detection of the antigenomic strand of hepatitis C virus in peripheral blood mononuclear cells.,miRNA-155//miRNA-196b,hepatitis C,21750860,1
miR-215 has a unique potential as a prognostic biomarker in stage II and III colon cancer.,miR-215,colon cancer,21752725,1
Elevated microRNA miR-21 Levels in Pancreatic Cyst Fluid Are Predictive of Mucinous Precursor Lesions of Ductal Adenocarcinoma.,miR-21,Ductal Adenocarcinoma,21757972,1
"3,3'-Diindolylmethane inhibits breast cancer cell growth via miR-21-mediated Cdc25A degradation.",miR-21,breast cancer,21761201,1
"miR-155 could significantly inhibit the growth of human lung cancer 95D cells in vitro, which might be closely related to miR-155 induced G0/G1 phase arrest.",miR-155,lung cancer,21762626,1
"miR-29c targets TNFAIP3, inhibits cell proliferation and induces apoptosis in hepatitis B virus-related hepatocellular carcinoma.",miR-29c,hepatocellular carcinoma,21763284,1
Circulating miR-26a is a potential predictors and therapeutic targets for non-hypertensive ICH (intracerebral hemorrhage).,miR-26a,intracerebral hemorrhage,21764522,1
"MiR-133a regulates collagen 1A1, which has potential role in myocardial fibrosis in angiotensin II dependent hypertension.",MiR-133a,hypertension,21769867,1
miR-21 expression was upregulated in response to treatment with TGF-beta1 or TNF-alpha in human renal tubular epithelial cells in vitro.,miR-21,human renal tubular epithelial,21775484,1
MicroRNA HSA-miR-125a-5p induces apoptosis by activating p53 in lung cancer cells.,HSA-miR-125a-5p,lung cancer,21777146,1
"Up-regulation of miR-122 negatively regulates ADAM-17, a known downstream target, in thyroid cells, suggesting an antiangiogenic mechanism in thyroid carcinoma.",miR-122,thyroid carcinoma,21779480,1
miR-10a overexpression is associated with NPM1 mutations and MDM4 downregulation in intermediate-risk acute myeloid leukemia.,miR-10a,acute myeloid leukemia,21784052,1
TGF-{beta}/Smad3 Signaling Promotes Renal Fibrosis by Inhibiting miR-29.,miR-29a,Renal Fibrosis,21784902,1
"Differentially expressed miRNAs including miR-99a, miR-100, miR-125b, miR-192, and miR-429 were detected in pancreatic cancer stem cells.",miR-99a//miR-100//miR-125b//miR-192//miR-429,pancreatic cancer,21785383,1
miR-203 expression predicts outcome after liver transplantation for hepatocellular carcinoma in cirrhotic liver.,miR-203,hepatocellular carcinoma,21786180,1
"Two common SNPs (rs41275794, rs12976445) in pri-miR-125a alter the mature miRNA expression and associate with Abortion, Habitual in a Han-Chinese population.",pri-miR-125a,Abortion habitual,21788734,1
Overexpression of the Lung Cancer-Prognostic miR-146b MicroRNAs Has a Minimal and Negative Effect on the Malignant Phenotype of A549 Lung Cancer Cells.,mir-146b,Lung Cancer,21789255,1
The lncRNA HULC is one of the most upregulated of all genes in hepatocellular carcinoma.,HULC,hepatocellular carcinoma,21802130,1
Primate-specific miRNA-637 inhibits tumorigenesis in hepatocellular carcinoma by disrupting stat3 signaling.,miRNA-637,hepatocellular carcinoma,21809363,1
"Lower miR-29a expression was mainly observed in MLL-rearranged pediatric acute myeloid leukemia, specifically in cases carrying t(10;11).",miR-29a,acute myeloid leukemia,21818844,1
"miR-21, miR-210, miR-34a, and miR-146a/b are up-regulated in human atherosclerotic plaques (compared to non-atherosclerotic left internal thoracic arteries (LITA)) in the Tampere Vascular Study.",miR-21//miR-210//miR-34a//miR-146a/b,atherosclerosis,21820659,1
"Overexpression of miR-335 suppressed gastric cancer cell invasion and metastasis in vitro and in vivo, but has no significant effects on cell proliferation.",miR-335,gastric cancer,21822301,1
"Recently,it has been described that overexpression of HOTAIR is able to accumulate the PRC2 complex to execute gene silencing,alternate genome-wide H3K27me3 patterns,reset global gene expression profiles,activate metastasis-associated genes,and promote breast cancer metastasis.",HOTAIR,breast cancer,21828241,1
MiR-145 was significantly down-regulated in canine malignant melanoma tissues.,MIR-145,melanoma,21836381,1
These data indicate that miR-15a/16-1 plays an important role in the ATRA-induced differentiation of leukemic and primary AML cells.,miR-15a/16-1,leukemia//AML,21838537,1
There is an inverse Association between miR-194 Expression and Tumor Invasion in Gastric Cancer.,miR-194,Gastric Cancer,21845495,1
Smad3-Mediated Upregulation of miR-21 Promotes Renal Fibrosis.,miR-21,Renal Fibrosis,21852586,1
MicroRNA-194 inhibits epithelial to mesenchymal transition of endometrial cancer cells by targeting oncogene BMI-1.,MicroRNA-194,endometrial cancer,21852586,1
Let-7a Is a Direct EWS-FLI-1 Target Implicated in Ewing's Sarcoma Development.,Let-7a,Ewing's sarcoma,21853155,1
CAMTA1 is a novel tumour suppressor regulated by miR-9/9(*) in glioblastoma stem cells.,miR-9/9(*),glioblastoma,21857646,1
"miR-506-514 cluster was consistently overexpressed in nearly all melanomas tested (30-60 fold, P<0.001), regardless of mutations in N-ras or B-raf.",miR-506-514 ,melanoma,21860416,1
Our results showed that HESRG was expressed strongly and diffusively in the nuclei of tumor cells in intracranial germinoma and embryonal carcinoma as well as in human embryonic stem cells.,HESRG,intracranial germinoma//embryonal carcinoma,21861197,1
PCR analysis revealed primary cutaneous melanomas had an 8.6-fold overexpression of miR-21 and a 7.5-fold overexpression of miR-155 compared with benign naevi (P<0.0001).,miR-21//miR-155,melanomas,21863027,1
We thus identify let-7g as a unique member of the let-7 miRNA family which can serve as a prognostic biomarker in breast cancer and also propose a paradigm utilized by specific signaling molecules via let-7g to cooperatively promote breast cancer invasion and metastasis.,let-7g,breast cancer,21868760,1
Oncogenic KRAS Regulates miR-200c and miR-221/222 in a 3D-Specific Manner in Colorectal Cancer Cells.,miR-200c//miR-221/222,Colorectal Cancer,21873159,1
miR-149 promotes epithelial-mesenchymal transition and invasion in nasopharyngeal carcinoma cells.,miR-149,nasopharyngeal carcinoma,21873783,1
"miR-128:Micro-RNA-128 (miRNA-128) down-regulation in glioblastoma targets ARP5 (ANGPTL6), Bmi-1 and E2F-3a, key regulators of brain cell proliferation.",miR-128//Micro-RNA-128,glioblastoma,21874051,1
Regional therapy with DTA-H19 vector suppresses growth of colon adenocarcinoma metastases in the rat liver.,DTA-H19,colon adenocarcinoma,21874233,1
"miR-32,miR-182 and miR-143 dysregulated expression levels are related with different pathological stages of intestinal-type gastric cancers.",miR-32//miR-182//miR-143,gastric cancers,21874264,1
MiR-138 Suppresses Expression of Hypoxia-inducible factor 1a (HIF-1a) in Clear Cell Renal Cell Carcinoma 786-O Cells.,MiR-138,Renal Cell Carcinoma,21875287,1
We find that the rs7536540 polymorphism in miR-101-1 is significantly associated with development of liver cirrhosis and hepatocellular carcinoma occurrence.,miR-101-1,hepatocellular carcinoma,21876625,1
We find that the rs7536540 polymorphism in miR-101-1 is significantly associated with development of liver cirrhosis and hepatocellular carcinoma occurrence.,mir-101-1,hepatocellular carcinoma,21876625,1
The expression of miR-181b and miR-21 was significantly overexpressed in gastric tumors compared to normal gastric tissues.,miR-181b//miR-21,gastric tumors,21876743,1
miR-216b suppresses tumor growth and invasion by targeting KRAS in nasopharyngeal carcinoma.,miR-216b,nasopharyngeal carcinoma,21878506,1
miR-125b-2 overexpression might confer glioblastoma stem cells resistance to TMZ.,miR-125b-2,glioblastoma,21879257,1
"Therefore, miR-637 could contributes to osteoporosis.",miR-637,osteoporosis,21880893,1
"A PCA3 score threshold of 20 may have the highest utility for seletcing men with clinically insignificant prostate cancer in whom active surveillance may be appropriate, a PCA3 score threshold of 50 may be used to identify men at high risk of harbouring significant prostate cancer who are candidates for RP.",PCA3,prostate cancer,21883822,1
"The authors identified a five-microRNA classifier (hsa-miR-210, hsa-miR-182, hsa-miR-486-5p, hsa-miR-30a and hsa-miR-140-3p) that could distinguish SCC (Squamous cell carcinoma) from normal lung tissues.",hsa-miR-210//hsa-miR-182//hsa-miR-486-5p//hsa-miR-30a//hsa-miR-140-3p,Squamous cell carcinoma,21890451,1
"The authors identified a five-microRNA classifier (hsa-miR-210, hsa-miR-182, hsa-miR-486-5p, hsa-miR-30a and hsa-miR-140-3p) that could distinguish SCC (Squamous cell carcinoma) from normal lung tissues.",mir-140,Squamous cell carcinoma,21890451,1
These findings indicated that the miR-483-5p-SRF pathway may offer a novel strategy for treatment with angiogenesis in ischemic heart disease patients.,miR-483-5p-SRF,ischemic heart disease,21893058,1
"The entire miR-200 family (miR-200a/b/c, miR-141, and miR-429) was up-regulated in cases of EEC (endometrioid endometrial adenocarcinoma).",miR-200a/b/c//miR-141//miR-429,endometrioid endometrial adenocarcinoma,21897839,1
MiR-17 Modulates Osteogenic Differentiation Through a Coherent Feed-Forward Loop in Mesenchymal Stem Cells Isolated from Periodontal Ligaments of Patients With Periodontitis.,MiR-17,Periodontitis,21898695,1
"Expression of three neurosteroid synthesis enzyme-specific micro-RNAs (miR-338, miR-155 and miR-491) showed a bias towards induction in patients with multiple sclerosis (P < 0.05).",miR-338//miR-155//miR-491,multiple sclerosis,21908875,1
"Primer extension analysis confirmed enhanced expression of miR-21 and decreased expression of miR-128, miR-124, and miR-132 in glioblastomas compared to non-tumor brain tissue samples.",miR-21,glioblastoma,21912681,1
"Primer extension analysis confirmed enhanced expression of miR-21 and decreased expression of miR-128, miR-124, and miR-132 in glioblastomas compared to non-tumor brain tissue samples.",miR-128//miR-124//miR-132,glioblastoma,21912681,1
Real-time PCR showed that miR-27b was up-regulated in glioma samples and glioma cells.,miR-27b,glioma,21922148,1
miR-1 as a tumor suppressive microRNA targeting TAGLN2 in head and neck squamous cell carcinoma.,miR-1,head and neck squamous cell carcinoma,21924268,1
Elevated expression of HOTAIR is observed in primary and metastatic breast cancer.,HOTAIR,breast cancer,21925379,1
miR-200a regulates Nrf2 activation by targeting Keap1 mRNA in breast cancer cells.,miR-200a//Keap1,breast cancer,21926429,1
"GWAS analysis revealed that rs1625579 within an intron of a putative primary transcript for MIR137 (microRNA 137), a known regulator of neuronal development was associated with schizophrenia.",MIR137 (microRNA 137),schizophrenia,21926974,1
MiR-34a Targeting of Notch Ligand Delta-Like 1 Impairs CD15/CD133 Tumor-Propagating Cells and Supports Neural Differentiation in Medulloblastoma.,MiR-34a,Medulloblastoma,21931765,1
"The over-expression of a specific non-coding rna,ndm29,reduces neuroblastoma development promoting cell differentiation.",ndm29,neuroblastoma,21933186,1
miR-122 was markedly decreased in azoospermia but increased in asthenozoospermia.,miR-122,asthenozoospermia,21933900,1
"microRNA-18a, a member of the oncogenic miR-17-92 cluster, targets Dicer and suppresses cell proliferation in bladder cancer T24 cells.",microRNA-18a,bladder cancer,21935572,1
"In conclusion, the results of this pilot study demonstrate that miR-15b and miR-21 are markers for gliomas, which can be assessed in the CSF by means of qRT-PCR.",MiR-15b//miR-21,gliomas,21937590,1
"Four miRNAs (miR-326, miR-155, miR-146a, miR-142-3p) were aberrantly expressed in peripheral blood mononuclear cells from RRMS (relapsing remitting multiple sclerosis) patients compared to healthy controls.",miR-326//miR-155//miR-146a//miR-142-3p,multiple sclerosis,21949733,1
miR-146a has a role in the pathogenesis of systemic lupus erythematosus with atherosclerosis.,miR-146a,systemic lupus erythematosus,21952984,1
Reduced miR-128 in breast tumor-initiating cells induces chemotherapeutic resistance via Bmi-1 and ABCC5.,miR-128,breast tumor,21953503,1
MiR-17/106b seed family regulates p21 in Hodgkin's lymphoma.,MiR-17/106b,Hodgkin's lymphoma,21953646,1
The most pronounced differences of atherosclerotic plaques in DNA methylation levels were registered for a site which is located in CpG-island of imprinted gene H19.,H19,atherosclerosis,21954592,1
miR-135a Regulates HOXA10 Expression in Endometriosis.,miR-135a//HOXA10,Endometriosis,21956427,1
MiR-185 Targets the DNA Methyltransferases 1 and Regulates Global DNA Methylation in human glioma.,MiR-185,glioma,21962230,1
Jumonji/Arid1 B (JARID1B) promotes breast tumor cell cycle progression through epigenetic repression of micro RNA let-7e.,let-7e,breast tumor,21969366,1
MiR-125b promotes proliferation and migration of type II endometrial carcinoma cells through targeting TP53INP1 tumor suppressor in vitro and in vivo.,mMiR-125b,endometrial carcinoma,21970405,1
NIRF is frequently upregulated in colorectal cancer and its oncogenicity can be suppressed by let-7a microRNA.,let-7a,colorectal carcinoma,22018986,1
Platelets in Patients with Premature Coronary Artery Disease Exhibit Upregulation of miRNA340* and miRNA624*.,mir-340,Coronary Artery Disease,22022480,1
"Silencing of miR-124 induces neuroblastoma SK-N-SH cell differentiation, cell cycle arrest and apoptosis through promoting AHR.",miR-124,neuroblastoma,22024478,1
miR-223 is overexpressed in T-lymphocytes of early rheumatoid arthritis patients.,miR-223,rheumatoid arthritis,22032299,1
"We find that the rs7536540 polymorphism in miR-101-1 is significantly associated with development of liver cirrhosis and hepatocellular carcinoma occurrence. In addition, rs12375841 and its unique haplotype (ht2) in miR-101-2 show significant association with clearance of hepatitis B virus infection.",miR-101-1,liver cirrhosis//hepatocellular carcinoma,22035408,1
RMRP mutations that lead to decreased RMRP levels are found in the pleiotropic syndrome Cartilage Hair Hypoplasia.,RMRP,Cartilage Hair Hypoplasia,22039455,1
miR-135b mediates NPM-ALK-driven oncogenicity and renders IL-17-producing immunophenotype to anaplastic large cell lymphoma.,miR-135b,lymphoma,22042699,1
"Two microRNA species (miR-30e, miR-106b) were up-regulated in non-obese individuals with periodontal disease.",miR-30e//miR-106b,periodontal disease,22043006,1
"Upregulation of micro RNA-146a (miRNA-146a), a marker for inflammatory neurodegeneration, in sporadic Creutzfeldt-Jakob disease (sCJD) and Gerstmann-Straussler-Scheinker (GSS) syndrome.",micro RNA-146a//miRNA-146a,Creutzfeldt-Jakob disease//Gerstmann-Straussler-Scheinker,22043907,1
HOTAIR is causally involved in tumor progression. It is significantly overexpressed in metastatic breast cancer.,HOTAIR,breast cancer,22045689,1
"The expression level of pir-823 in gastric cancer tissues was significant lower than that in non-cancerous tissues. After increase the level of pir-823 in gastric cancer cells, cell growth was inhibited.",pir-823,gastric cancer,22047710,1
Inhibition of miR-15 Protects Against Cardiac Ischemic Injury.,miR-155,Ischemia,22052914,1
MiR-485-5p was identified in these analyses as down-regulated in ependymomas when compared to normal controls.,MiR-485-5p,ependymoma,22053178,1
MiR-17-92 cluster and its paralogs were significantly overexpressed in colon tumor.,MiR-17-92,colon tumor,22065543,1
"Overexpression of miR-125b, a Novel Regulator of Innate Immunity, in Eosinophilic Chronic Rhinosinusitis with Nasal Polyps.",miR-125b,Eosinophilic Chronic Rhinosinusitis with Nasal Polyps,22071331,1
Downregulation of miR-221/222 sensitizes glioma cells to temozolomide by regulating apoptosis independently of p53 status.,miR-221/222,glioma,22075712,1
"miR-449a/b was significantly down-regulated in lung cancer tissues compared with normal lung tissues, while HDAC1 was up-regulated in lung cancer tissues.",miR-449a/b,lung cancer,22080513,1
"let-7a-2, 7a-3, 7d, 7f-2 downregulated in breast cancer.",let-7a-2//let-7a-3//let-7d//let-7f-2,breast cancer,22081076,1
MiRNA-9 and MiRNA-200a distinguish hemangioblastomas from metastatic clear cell renal cell carcinomas in the CNS.,MiRNA-9//MiRNA-200a,lear cell renal cell carcinomas,22082152,1
Cardiac hypertrophy is positively regulated by miR-23a.,miR-23a,Cardiac hypertrophy,22084234,1
miR-124 suppresses multiple steps of breast cancer metastasis by targeting a cohort of pro-metastatic genes in vitro.,miR-124,breast cancer,22085528,1
